concept1,concept2,similarity,type
consommation,banques d'investissement,0.24,economie
échange commercial,marché numérique,0.23,economie
entreprise,révolution industrielle,0.22,economie
bourse,carrière,0.19,economie
développement,emploi,0.20,economie
commerce international,énergie verte,0.21,economie
offre,transport,0.22,economie
fiscalité,bénéfice,0.24,economie
dividende,placements,0.23,economie
innovation,offres,0.20,economie
startups,industrie,0.22,economie
capital,retraite,0.21,economie
marché immobilier,taux directeur,0.19,economie
productivité,PIB,0.24,economie
industrie,actions,0.22,economie
entreprise,audit,0.23,economie
revenus,régulation,0.21,economie
monnaie,progrès,0.20,economie
balance commerciale,globalisation,0.24,economie
innovation,efficacité,0.23,economie
fiscalité,site marchand,0.19,economie
entrepreneuriat,exportations,0.22,economie
microfinance,technologies,0.20,economie
budget national,ressources,0.21,economie
épargne,startups,0.22,economie
chômage,exploitation,0.23,economie
revenus passifs,turbine,0.24,economie
startups,semi-conducteurs,0.19,economie
banque privée,datacenter,0.20,economie
assurance,cloud gaming,0.22,economie
marché de l'emploi,capteurs,0.23,economie
école,collège,0.92,education
université,faculté,0.94,education
professeur,enseignant,0.95,education
étudiant,apprenant,0.91,education
cours,leçon,0.93,education
examen,évaluation,0.94,education
apprentissage,formation,0.95,education
livre,manuel,0.92,education
éducation,pédagogie,0.94,education
savoir,connaissance,0.95,education
classe,salle,0.91,education
diplôme,certificat,0.93,education
études,recherche,0.94,education
lecture,compréhension,0.91,education
mathématiques,algèbre,0.93,education
science,expérience,0.92,education
histoire,géographie,0.91,education
langue,vocabulaire,0.94,education
mémorisation,récitation,0.95,education
bibliothèque,médiathèque,0.92,education
formation,atelier,0.93,education
lecture,écriture,0.94,education
pédagogie,méthodologie,0.95,education
évaluation,notation,0.92,education
stage,expérience professionnelle,0.94,education
enseignant,instructeur,0.95,education
université,recherche,0.93,education
étudiant,diplômé,0.91,education
classe,cours,0.92,education
programme,sujet,0.94,education
formation en ligne,MOOC,0.95,education
laboratoire,expérience,0.91,education
questionnaire,évaluation,0.93,education
recherche,publication,0.94,education
bourse,financement,0.92,education
formation continue,certificat,0.94,education
enseignant,professeur,0.95,education
discipline,connaissance,0.91,education
compétences,apprentissage,0.94,education
académie,université,0.93,education
connaissance,savoir-faire,0.95,education
enseignant,tuteur,0.92,education
projet,groupe,0.91,education
atelier,pratique,0.93,education
cours magistral,conférence,0.94,education
livre scolaire,manuel,0.95,education
élève,apprenant,0.91,education
enseignement,méthode,0.93,education
stage,bénévolat,0.92,education
thèse,recherche,0.94,education
doctorat,master,0.95,education
certificat,diplôme,0.92,education
lecture,analyse,0.94,education
discussion,argumentation,0.93,education
enseignant,éducateur,0.95,education
école privée,internat,0.91,education
université publique,faculté,0.92,education
collège,lycée,0.94,education
scolarité,cursus,0.93,education
connaissance,culture,0.95,education
langues étrangères,tradition,0.92,education
compétences numériques,apprentissage,0.94,education
technologies éducatives,MOOC,0.95,education
formation,développement,0.93,education
enquête,analyse,0.91,education
enseignement supérieur,recherche,0.94,education
analyse,interprétation,0.95,education
pédagogie,curriculum,0.92,education
salle de classe,tableau noir,0.91,education
étude de cas,projet,0.93,education
enseignant,maître,0.94,education
cours en ligne,formation à distance,0.95,education
mémoire,rédaction,0.91,education
enfant,éducation,0.92,education
échange académique,mobilité,0.93,education
compétence,aptitude,0.94,education
atelier technique,formation pratique,0.95,education
professeur titulaire,enseignant,0.91,education
lecture critique,analyse,0.93,education
cours intensif,formation accélérée,0.94,education
atelier d'écriture,compétence linguistique,0.95,education
enseignement interactif,multimédia,0.92,education
apprentissage actif,pratique,0.94,education
enseignement en ligne,technologies,0.93,education
projet éducatif,programme,0.95,education
exercice,résolution,0.92,education
test,validation,0.91,education
évaluation formative,retour d'information,0.93,education
certification,qualification,0.94,education
ressources pédagogiques,médiathèque,0.92,education
enseignement pratique,formation,0.94,education
enseignant expérimenté,guide,0.93,education
initiation,sensibilisation,0.95,education
école,bibliothèque,0.22,education
université,atelier technique,0.20,education
professeur,test,0.21,education
étudiant,médiathèque,0.24,education
cours,innovation,0.19,education
examen,analyse,0.22,education
apprentissage,mobilité,0.23,education
livre,savoir-faire,0.20,education
éducation,ressources numériques,0.24,education
savoir,atelier d'écriture,0.22,education
classe,rédaction,0.19,education
diplôme,argumentation,0.20,education
études,pratique,0.23,education
lecture,atelier,0.22,education
mathématiques,culture,0.21,education
science,langues étrangères,0.19,education
histoire,compétence linguistique,0.20,education
langue,apprentissage actif,0.23,education
mémorisation,multimédia,0.24,education
bibliothèque,projet éducatif,0.22,education
formation,résolution,0.19,education
lecture critique,test,0.20,education
pédagogie,validation,0.23,education
évaluation,qualification,0.24,education
stage,ressources pédagogiques,0.21,education
enseignant,formation pratique,0.22,education
université publique,guide,0.19,education
collège,formation accélérée,0.20,education
scolarité,retour d'information,0.23,education
connaissance,enseignement interactif,0.22,education
langues étrangères,MOOC,0.19,education
compétences numériques,programme,0.20,education
technologies éducatives,tableau noir,0.23,education
formation,médiathèque,0.24,education
enquête,expérience professionnelle,0.22,education
enseignement supérieur,certification,0.19,education
analyse,atelier technique,0.20,education
pédagogie,lecture critique,0.23,education
salle de classe,échange académique,0.24,education
étude de cas,pratique,0.21,education
enseignant expérimenté,multimédia,0.22,education
cours en ligne,compétences linguistiques,0.19,education
mémoire,certification,0.20,education
enfant,ressources numériques,0.23,education
échange académique,atelier pratique,0.22,education
compétence,projet éducatif,0.19,education
atelier technique,test,0.20,education
professeur titulaire,qualification,0.23,education
cinéma,film,0.95,divertissement
musique,concert,0.94,divertissement
jeu vidéo,console,0.93,divertissement
théâtre,scène,0.92,divertissement
livre,roman,0.91,divertissement
sport,match,0.94,divertissement
festival,événement,0.93,divertissement
danse,spectacle,0.92,divertissement
podcast,émission,0.90,divertissement
radio,playlist,0.91,divertissement
parc d'attractions,manège,0.94,divertissement
cirque,acrobatie,0.93,divertissement
peinture,galerie,0.92,divertissement
photographie,exposition,0.94,divertissement
karaoké,microphone,0.91,divertissement
bande dessinée,manga,0.93,divertissement
art contemporain,installation,0.92,divertissement
puzzle,jeu de société,0.91,divertissement
esport,compétition,0.95,divertissement
comédie,hilarité,0.94,divertissement
drame,scénario,0.92,divertissement
musée,exposition,0.93,divertissement
magie,illusion,0.94,divertissement
documentaire,culture,0.91,divertissement
streaming,vidéo,0.93,divertissement
réalité virtuelle,casque VR,0.92,divertissement
jeux de rôle,donjons,0.91,divertissement
danse classique,ballet,0.94,divertissement
orchestre,symphonie,0.95,divertissement
art urbain,grafitti,0.93,divertissement
opéra,chanteur,0.92,divertissement
cinéma d'animation,animation 3D,0.94,divertissement
jeu de plateau,stratégie,0.91,divertissement
télévision,série,0.93,divertissement
montagne russe,adrénaline,0.94,divertissement
spectacle vivant,performance,0.95,divertissement
chanson,mélodie,0.92,divertissement
comédie musicale,chanson,0.94,divertissement
peinture à l'huile,toile,0.93,divertissement
art abstrait,sculpture,0.91,divertissement
photo de paysage,exposition photo,0.94,divertissement
humour,stand-up,0.93,divertissement
streamer,plateforme,0.92,divertissement
carnaval,défilé,0.91,divertissement
jeu de cartes,poker,0.94,divertissement
tournoi,championnat,0.95,divertissement
sculpture,marbre,0.91,divertissement
cinéma indépendant,auteur,0.93,divertissement
musique classique,violon,0.92,divertissement
sport d'équipe,entraîneur,0.94,divertissement
fiction,imagination,0.91,divertissement
peinture moderne,galerie,0.93,divertissement
danse contemporaine,improvisation,0.94,divertissement
opéra lyrique,chœur,0.95,divertissement
jeu interactif,histoire,0.92,divertissement
podium,concours,0.93,divertissement
festival de musique,artistes,0.94,divertissement
arts visuels,création,0.91,divertissement
manga,animation,0.93,divertissement
thriller,suspense,0.94,divertissement
fiction audio,histoire,0.95,divertissement
exposition universelle,innovation,0.92,divertissement
peinture abstraite,couleurs,0.94,divertissement
comédie romantique,scénario,0.91,divertissement
musique électro,DJ,0.93,divertissement
livre audio,voix,0.94,divertissement
balade,sentier,0.92,divertissement
parc naturel,découverte,0.91,divertissement
concert en plein air,scène,0.94,divertissement
cinéma en plein air,projection,0.93,divertissement
festival de cinéma,récompenses,0.95,divertissement
humour noir,satire,0.94,divertissement
illustration,portfolio,0.92,divertissement
peinture réaliste,nature morte,0.91,divertissement
radio libre,animation,0.93,divertissement
improvisation théâtrale,créativité,0.94,divertissement
écriture créative,atelier,0.95,divertissement
compétition sportive,médaille,0.92,divertissement
jeu de stratégie,cartes,0.94,divertissement
spectacle d'humour,rire,0.93,divertissement
série policière,énigme,0.91,divertissement
film d'animation,dessin animé,0.94,divertissement
parc aquatique,toboggan,0.95,divertissement
dessin,croquis,0.93,divertissement
art numérique,modélisation 3D,0.92,divertissement
télé-réalité,émission,0.91,divertissement
vlog,capture,0.93,divertissement
art classique,exposition,0.94,divertissement
cinéma,manège,0.24,divertissement
musique,croquis,0.22,divertissement
jeu vidéo,exposition universelle,0.20,divertissement
théâtre,poker,0.21,divertissement
livre,art numérique,0.23,divertissement
sport,radio libre,0.22,divertissement
festival,nature morte,0.19,divertissement
danse,toboggan,0.20,divertissement
podcast,stand-up,0.24,divertissement
radio,installation,0.23,divertissement
parc d'attractions,atelier d'écriture,0.21,divertissement
cirque,fiction audio,0.20,divertissement
peinture,compétition sportive,0.22,divertissement
photographie,émission,0.24,divertissement
karaoké,modélisation 3D,0.19,divertissement
bande dessinée,thriller,0.21,divertissement
art contemporain,sentier,0.22,divertissement
puzzle,dessin animé,0.20,divertissement
esport,sculpture,0.23,divertissement
comédie,balade,0.24,divertissement
drame,télé-réalité,0.19,divertissement
musée,parc aquatique,0.20,divertissement
magie,vlog,0.22,divertissement
documentaire,concert,0.23,divertissement
streaming,marbre,0.24,divertissement
réalité virtuelle,nature morte,0.21,divertissement
jeux de rôle,projection,0.20,divertissement
danse classique,médaille,0.22,divertissement
orchestre,grafitti,0.23,divertissement
art urbain,imagination,0.19,divertissement
opéra,mélodie,0.20,divertissement
cinéma d'animation,portfolio,0.22,divertissement
jeu de plateau,donjons,0.23,divertissement
télévision,ballet,0.24,divertissement
montagne russe,création,0.21,divertissement
spectacle vivant,atelier pratique,0.20,divertissement
chanson,chanteur,0.22,divertissement
comédie musicale,adrénaline,0.23,divertissement
peinture à l'huile,cartes,0.24,divertissement
art abstrait,concours,0.19,divertissement
photo de paysage,championnat,0.20,divertissement
humour,galerie,0.22,divertissement
streamer,histoire,0.23,divertissement
carnaval,tableau noir,0.24,divertissement
jeu de cartes,atelier,0.21,divertissement
tournoi,multimédia,0.20,divertissement
sculpture,ressources numériques,0.22,divertissement
cinéma indépendant,formation,0.23,divertissement
musique classique,qualification,0.24,divertissement
sport d'équipe,atelier technique,0.21,divertissement
fiction,programme éducatif,0.19,divertissement
peinture,toile,0.95,art_culture
sculpture,marbre,0.94,art_culture
musée,exposition,0.93,art_culture
galerie,artiste,0.92,art_culture
histoire,patrimoine,0.94,art_culture
architecture,bâtiment,0.93,art_culture
littérature,roman,0.95,art_culture
poésie,vers,0.92,art_culture
musique,instrument,0.94,art_culture
cinéma,projection,0.93,art_culture
photographie,image,0.91,art_culture
danse,ballet,0.95,art_culture
calligraphie,écriture,0.93,art_culture
peinture à l'huile,toile,0.94,art_culture
art moderne,abstraction,0.95,art_culture
peinture abstraite,couleur,0.92,art_culture
art urbain,grafitti,0.94,art_culture
théâtre,acteur,0.93,art_culture
littérature classique,auteur,0.91,art_culture
art contemporain,installation,0.95,art_culture
danse contemporaine,improvisation,0.94,art_culture
cinéma d’auteur,scénario,0.93,art_culture
roman,histoire,0.92,art_culture
poésie classique,rime,0.94,art_culture
peinture réaliste,portrait,0.93,art_culture
sculpture moderne,acier,0.91,art_culture
musique classique,symphonie,0.95,art_culture
danse traditionnelle,costume,0.94,art_culture
galerie d’art,collection,0.93,art_culture
histoire de l’art,peinture,0.92,art_culture
calligraphie asiatique,caractère,0.94,art_culture
livre,chapitre,0.93,art_culture
art numérique,modélisation 3D,0.92,art_culture
photographie de paysage,nature,0.94,art_culture
art abstrait,symbolisme,0.95,art_culture
installation artistique,sculpture,0.93,art_culture
poème,émotion,0.91,art_culture
film d’auteur,réalisation,0.92,art_culture
sculpture monumentale,statue,0.94,art_culture
galerie de photo,exposition,0.93,art_culture
bande dessinée,manga,0.95,art_culture
illustration,design,0.94,art_culture
peinture impressionniste,nuance,0.93,art_culture
danse folklorique,musique,0.92,art_culture
théâtre classique,tragédie,0.94,art_culture
film indépendant,histoire,0.95,art_culture
art contemporain,concept,0.94,art_culture
musée d’art,peinture,0.93,art_culture
musique électronique,DJ,0.92,art_culture
roman historique,époque,0.94,art_culture
photographie noir et blanc,contraste,0.95,art_culture
ballet classique,pointe,0.93,art_culture
sculpture ancienne,archéologie,0.92,art_culture
peinture murale,couleur,0.94,art_culture
livre illustré,enfant,0.93,art_culture
cinéma documentaire,récit,0.91,art_culture
opéra,chant,0.94,art_culture
chanson populaire,rituel,0.93,art_culture
conte,imagination,0.92,art_culture
design graphique,logo,0.95,art_culture
musée historique,artefacts,0.94,art_culture
illustration digitale,concept,0.93,art_culture
exposition temporaire,thème,0.92,art_culture
histoire orale,traduction,0.94,art_culture
art minimaliste,simplicité,0.95,art_culture
peinture symboliste,forme,0.94,art_culture
théâtre expérimental,créativité,0.93,art_culture
opéra lyrique,orchestre,0.92,art_culture
danse improvisée,mouvement,0.95,art_culture
musique folk,acoustique,0.94,art_culture
photographie artistique,cadre,0.93,art_culture
peinture expressionniste,couleurs vives,0.92,art_culture
art décoratif,style,0.94,art_culture
ballet moderne,technique,0.95,art_culture
exposition internationale,artistes,0.93,art_culture
histoire culturelle,évolution,0.91,art_culture
littérature jeunesse,aventure,0.92,art_culture
photographie de portrait,visage,0.94,art_culture
art tribal,sculpture,0.93,art_culture
galerie privée,collection,0.91,art_culture
peinture cubiste,géométrie,0.94,art_culture
sculpture en bronze,détail,0.93,art_culture
art gothique,cathédrale,0.95,art_culture
poème épique,héros,0.94,art_culture
film historique,décor,0.93,art_culture
illustration scientifique,précision,0.91,art_culture
musique baroque,clavecin,0.92,art_culture
danse moderne,rythme,0.94,art_culture
conte folklorique,mythe,0.93,art_culture
peinture murale,culture,0.91,art_culture
peinture,artefacts,0.23,art_culture
sculpture,improvisation,0.21,art_culture
musée,ballet,0.24,art_culture
galerie,clé de sol,0.20,art_culture
histoire,illustration scientifique,0.22,art_culture
architecture,installation artistique,0.19,art_culture
littérature,symbole,0.21,art_culture
poésie,musique électronique,0.23,art_culture
musique,film indépendant,0.22,art_culture
cinéma,archéologie,0.24,art_culture
photographie,sculpture moderne,0.19,art_culture
danse,art gothique,0.21,art_culture
calligraphie,galerie de photo,0.22,art_culture
peinture à l'huile,détail,0.20,art_culture
art moderne,mythe,0.19,art_culture
peinture abstraite,clavecin,0.23,art_culture
art urbain,projection,0.24,art_culture
théâtre,héros,0.22,art_culture
littérature classique,récit,0.20,art_culture
art contemporain,graphisme,0.19,art_culture
danse contemporaine,visage,0.23,art_culture
cinéma d’auteur,rituel,0.22,art_culture
roman,couleurs vives,0.21,art_culture
poésie classique,art décoratif,0.19,art_culture
peinture réaliste,géométrie,0.20,art_culture
sculpture moderne,créativité,0.24,art_culture
musique classique,aventure,0.23,art_culture
danse traditionnelle,illustration,0.21,art_culture
galerie d’art,chapitre,0.22,art_culture
histoire de l’art,théâtre expérimental,0.19,art_culture
calligraphie asiatique,technique,0.20,art_culture
livre,cathédrale,0.24,art_culture
art numérique,histoire orale,0.23,art_culture
photographie de paysage,réalisation,0.22,art_culture
art abstrait,caractère,0.21,art_culture
installation artistique,évolution,0.19,art_culture
poème,concept,0.20,art_culture
film d’auteur,tragédie,0.24,art_culture
sculpture monumentale,artistes,0.23,art_culture
galerie de photo,acoustique,0.22,art_culture
bande dessinée,contraste,0.19,art_culture
illustration,modélisation 3D,0.20,art_culture
peinture impressionniste,création,0.24,art_culture
danse folklorique,statue,0.23,art_culture
théâtre classique,exposition,0.21,art_culture
film indépendant,sculpture en bronze,0.22,art_culture
art contemporain,tableau noir,0.19,art_culture
musée d’art,ressources numériques,0.20,art_culture
musique électronique,médaille,0.24,art_culture
voiture,automobile,0.95,transport
avion,aéroport,0.94,transport
bateau,port,0.93,transport
train,gare,0.92,transport
vélo,piste cyclable,0.91,transport
camion,livraison,0.94,transport
bus,arrêt,0.93,transport
métro,station,0.95,transport
tramway,rails,0.92,transport
taxi,chauffeur,0.91,transport
moto,casque,0.94,transport
ferry,croisière,0.93,transport
helicoptère,héliport,0.92,transport
véhicule,moteur,0.91,transport
autoroute,route,0.95,transport
caravane,camping,0.94,transport
transports publics,urbain,0.93,transport
voiture électrique,batterie,0.92,transport
vélo électrique,station de recharge,0.91,transport
scooter,trottinette,0.94,transport
train à grande vitesse,rail,0.93,transport
taxi,application mobile,0.92,transport
autocar,longue distance,0.91,transport
cargo,conteneurs,0.95,transport
transport maritime,navigation,0.94,transport
route,signalisation,0.93,transport
pont,viaduc,0.92,transport
tunnel,autoroute,0.91,transport
parc de stationnement,parking,0.94,transport
station essence,carburant,0.95,transport
car-sharing,économie collaborative,0.93,transport
véhicule autonome,capteurs,0.94,transport
trottinette électrique,stationnement,0.91,transport
transport aérien,vol,0.92,transport
transport ferroviaire,locomotive,0.93,transport
port maritime,logistique,0.94,transport
vélo en libre-service,application,0.91,transport
remorque,tracteur,0.92,transport
train de fret,cargaison,0.95,transport
avion cargo,expédition,0.94,transport
bateau de pêche,marin,0.93,transport
hélitreuillage,secours,0.92,transport
chemin de fer,infrastructure,0.91,transport
véhicule hybride,énergie,0.93,transport
système de navigation,GPS,0.94,transport
voiture connectée,application mobile,0.92,transport
gare routière,passagers,0.91,transport
voiture de location,agence,0.94,transport
piste d’atterrissage,aérodrome,0.95,transport
bateau à moteur,propulseur,0.93,transport
transport multimodal,logistique,0.94,transport
train de banlieue,usagers,0.91,transport
tramway urbain,cité,0.92,transport
embouteillage,trafic,0.93,transport
autoroute à péage,badge,0.94,transport
voiture autonome,IA,0.91,transport
station de bus,horaires,0.92,transport
camion-citerne,carburant,0.95,transport
véhicule électrique,écologie,0.94,transport
taxi partagé,coût,0.93,transport
voiture thermique,moteur à combustion,0.92,transport
aéroport international,douane,0.91,transport
bâteau à voile,vents,0.93,transport
réseau de transports,interconnexion,0.94,transport
location de vélo,service,0.92,transport
train à vapeur,cheminée,0.91,transport
autoroute urbaine,périphérique,0.94,transport
vélo pliable,portabilité,0.95,transport
métro automatique,pilotage,0.93,transport
station de recharge,compatibilité,0.94,transport
transport express,colis,0.91,transport
chemin de fer rural,campagne,0.92,transport
taxi de luxe,chauffeur privé,0.93,transport
train longue distance,couchette,0.94,transport
bateau de croisière,passagers,0.91,transport
métro souterrain,escalator,0.92,transport
hélicoptère de secours,urgence,0.93,transport
remorque agricole,champ,0.94,transport
transport intermodal,conteneurs,0.95,transport
station-service,pompe à essence,0.93,transport
camion frigorifique,conservation,0.92,transport
transport routier,logistique,0.94,transport
train régional,voyageurs,0.91,transport
échangeur autoroutier,circulation,0.92,transport
système ferroviaire,voie,0.93,transport
piste cyclable,urbain,0.94,transport
carrière professionnelle,logistique,0.91,transport
station de taxis,attente,0.92,transport
tramway interurbain,banlieue,0.93,transport
véhicule motorisé,mobilité,0.94,transport
vélo électrique,écologie,0.95,transport
voiture,station-service,0.22,transport
avion,mobilité,0.20,transport
bateau,autoroute,0.21,transport
train,pompe à essence,0.19,transport
vélo,système ferroviaire,0.24,transport
camion,bâteau à voile,0.22,transport
bus,remorque agricole,0.23,transport
métro,port,0.21,transport
tramway,aéroport,0.20,transport
taxi,camion-citerne,0.19,transport
moto,tunnel,0.24,transport
ferry,escalator,0.22,transport
helicoptère,piste cyclable,0.23,transport
véhicule,signalisation,0.21,transport
autoroute,location de vélo,0.20,transport
caravane,scooter,0.19,transport
transports publics,voiture thermique,0.22,transport
voiture électrique,embouteillage,0.24,transport
vélo électrique,conteneurs,0.23,transport
scooter,train régional,0.20,transport
train à grande vitesse,interconnexion,0.21,transport
taxi,parc naturel,0.19,transport
autocar,station de taxis,0.22,transport
cargo,mobilité,0.24,transport
transport maritime,banlieue,0.23,transport
route,métro souterrain,0.21,transport
pont,esport,0.20,transport
tunnel,bibliothèque,0.19,transport
parc de stationnement,atelier technique,0.23,transport
station essence,résolution,0.22,transport
car-sharing,exposition universelle,0.21,transport
véhicule autonome,puzzle,0.19,transport
trottinette électrique,modélisation 3D,0.20,transport
transport aérien,artefacts,0.23,transport
transport ferroviaire,création,0.24,transport
port maritime,sentier,0.22,transport
vélo en libre-service,mythe,0.21,transport
remorque,croquis,0.20,transport
train de fret,concours,0.19,transport
avion cargo,galerie,0.23,transport
bateau de pêche,statue,0.24,transport
hélitreuillage,tableau noir,0.22,transport
chemin de fer,ressources numériques,0.21,transport
véhicule hybride,atelier pratique,0.19,transport
système de navigation,chapitre,0.20,transport
voiture connectée,développement durable,0.23,transport
gare routière,médaille,0.24,transport
voiture de location,histoire orale,0.22,transport
piste d’atterrissage,contraste,0.21,transport
révolution française,14 juillet,0.95,histoire
première guerre mondiale,armistice,0.94,histoire
seconde guerre mondiale,débarquement,0.93,histoire
renaissance,léonard de vinci,0.92,histoire
moyen âge,chevalerie,0.91,histoire
empire romain,jules césar,0.94,histoire
révolution industrielle,usine,0.93,histoire
grande dépression,chômage,0.92,histoire
réforme,luther,0.91,histoire
époque contemporaine,démocratie,0.94,histoire
antiquité,philosophie,0.95,histoire
château fort,siège,0.93,histoire
guerre froide,bloc soviétique,0.94,histoire
colonisation,empire,0.92,histoire
grèce antique,spartiate,0.91,histoire
république,plébéiens,0.94,histoire
guerre de sécession,abolition,0.93,histoire
civilisation égyptienne,pharaon,0.95,histoire
médiéval,chevalier,0.92,histoire
réforme protestante,église,0.91,histoire
exploration maritime,grands navigateurs,0.94,histoire
siècle des lumières,encyclopédie,0.93,histoire
révolution russe,bolcheviks,0.95,histoire
chute de l'empire romain,invasion,0.92,histoire
guerre napoléonienne,napoléon,0.94,histoire
découverte de l'amérique,christophe colomb,0.93,histoire
croisades,terres saintes,0.95,histoire
époque victorienne,angleterre,0.92,histoire
traité de versailles,paix,0.91,histoire
guerre d'indépendance américaine,colons,0.94,histoire
union européenne,intégration,0.93,histoire
grande muraille de chine,défense,0.95,histoire
renaissance italienne,michel-ange,0.92,histoire
chevaliers templiers,ordre,0.91,histoire
guerre civile espagnole,franco,0.94,histoire
siècle d'or espagnol,art,0.93,histoire
inquisition espagnole,tribunal,0.95,histoire
art gothique,cathédrale,0.94,histoire
migrations barbares,empire romain,0.92,histoire
dynastie,monarchie,0.91,histoire
guerre des cent ans,joan of arc,0.94,histoire
invention de l'imprimerie,gutenberg,0.93,histoire
âge des découvertes,voyages,0.95,histoire
crise économique,1929,0.92,histoire
empire ottoman,istanbul,0.94,histoire
révolution mexicaine,zapata,0.93,histoire
histoire de france,révolution,0.91,histoire
guerre d'algerie,indépendance,0.94,histoire
traité de rome,union,0.93,histoire
siècle d'auguste,rome,0.95,histoire
royaume de france,couronne,0.92,histoire
grande guerre,front,0.91,histoire
civilisation maya,temple,0.94,histoire
civilisation aztèque,empereur,0.93,histoire
histoire médiévale,sièges,0.95,histoire
siècle d'averroès,philosophie,0.92,histoire
histoire américaine,constitution,0.94,histoire
révolte des paysans,soulèvement,0.93,histoire
chute du mur de berlin,réunification,0.95,histoire
empire britannique,colonies,0.92,histoire
histoire grecque,tragédies,0.91,histoire
dynastie han,chine,0.94,histoire
empire moghol,taj mahal,0.93,histoire
guerre franco-prussienne,alsace,0.95,histoire
époque baroque,art,0.92,histoire
préhistoire,grottes,0.94,histoire
histoire russe,tsar,0.93,histoire
guerre des roses,trône,0.95,histoire
révolte spartakiste,allemagne,0.92,histoire
renaissance allemande,dürer,0.91,histoire
civilisation chinoise,confucius,0.94,histoire
histoire du japon,samouraïs,0.93,histoire
civilisation crétoise,minoens,0.95,histoire
histoire du moyen-orient,islam,0.92,histoire
guerre israélo-arabe,territoire,0.94,histoire
civilisation mésopotamienne,babylone,0.93,histoire
âge de bronze,armes,0.95,histoire
histoire du commerce,routes,0.92,histoire
exploration polaire,expéditions,0.94,histoire
révolution culturelle chinoise,mao,0.93,histoire
guerre civile américaine,esclavage,0.91,histoire
empire perse,cyrus,0.94,histoire
histoire de la médecine,découvertes,0.93,histoire
histoire coloniale,plantations,0.95,histoire
exploration spatiale,lune,0.92,histoire
révolution industrielle,travail,0.94,histoire
civilisation inca,machu picchu,0.93,histoire
antiquité grecque,athènes,0.91,histoire
époque moderne,commerce,0.94,histoire
civilisation africaine,royaumes,0.93,histoire
invention de la roue,transports,0.95,histoire
révolution française,invention de la roue,0.24,histoire
première guerre mondiale,temple maya,0.21,histoire
seconde guerre mondiale,civilisation crétoise,0.22,histoire
renaissance,philosophie chinoise,0.19,histoire
moyen âge,routes commerciales,0.20,histoire
empire romain,art minimaliste,0.24,histoire
révolution industrielle,culture aztèque,0.23,histoire
grande dépression,modèle économique,0.22,histoire
réforme,épopées grecques,0.20,histoire
époque contemporaine,ballet classique,0.19,histoire
antiquité,exposition universelle,0.24,histoire
château fort,guerre froide,0.23,histoire
guerre froide,civilisation mésopotamienne,0.21,histoire
colonisation,peinture abstraite,0.22,histoire
grèce antique,danses traditionnelles,0.19,histoire
république,artefacts,0.20,histoire
guerre de sécession,modèle numérique,0.23,histoire
civilisation égyptienne,poésie contemporaine,0.24,histoire
médiéval,livre audio,0.22,histoire
réforme protestante,galerie de peinture,0.21,histoire
exploration maritime,danse folklorique,0.20,histoire
siècle des lumières,sécurité sociale,0.19,histoire
révolution russe,paysages numériques,0.24,histoire
chute de l'empire romain,système de navigation,0.23,histoire
guerre napoléonienne,transport aérien,0.22,histoire
découverte de l'amérique,science-fiction,0.21,histoire
croisades,modèles mathématiques,0.20,histoire
époque victorienne,opéras,0.19,histoire
traité de versailles,analyse économique,0.24,histoire
guerre d'indépendance américaine,installation artistique,0.23,histoire
union européenne,modélisation 3D,0.22,histoire
grande muraille de chine,chorégraphie,0.21,histoire
renaissance italienne,opinion publique,0.19,histoire
chevaliers templiers,symbole religieux,0.20,histoire
guerre civile espagnole,paysages photographiques,0.24,histoire
siècle d'or espagnol,culture moderne,0.23,histoire
inquisition espagnole,conteneurs maritimes,0.22,histoire
art gothique,technologies éducatives,0.21,histoire
migrations barbares,ressources numériques,0.20,histoire
dynastie,fiction audio,0.19,histoire
guerre des cent ans,galeries d'art,0.24,histoire
invention de l'imprimerie,supports numériques,0.23,histoire
âge des découvertes,plateformes numériques,0.22,histoire
crise économique,croquis,0.21,histoire
empire ottoman,développement durable,0.20,histoire
révolution mexicaine,concours culturels,0.19,histoire
exploration polaire,graphisme contemporain,0.24,histoire
civilisation inca,analyse statistique,0.23,histoire
démocratie,élections,0.95,politique
parlement,députés,0.94,politique
président,mandat,0.93,politique
parti politique,campagne,0.92,politique
constitution,lois,0.91,politique
gouvernement,réformes,0.94,politique
sénat,législation,0.93,politique
électorat,vote,0.95,politique
opposition,critique,0.92,politique
coalition,accord,0.91,politique
république,assemblée,0.94,politique
monarchie,roi,0.93,politique
dictature,pouvoir,0.94,politique
ministère,administration,0.92,politique
candidat,campagne électorale,0.91,politique
citoyenneté,droits,0.93,politique
référendum,consultation,0.95,politique
décentralisation,territoires,0.92,politique
lobbying,influence,0.91,politique
révolution,population,0.94,politique
pouvoir exécutif,décisions,0.93,politique
pouvoir législatif,débats,0.94,politique
pouvoir judiciaire,tribunaux,0.95,politique
partisan,idéologie,0.92,politique
vote électronique,sécurité,0.91,politique
mouvement social,grève,0.94,politique
budget,finances publiques,0.93,politique
majorité,coalition,0.92,politique
opinion publique,surveys,0.91,politique
conflit diplomatique,négociation,0.94,politique
politique internationale,diplomatie,0.95,politique
chambre des communes,députés,0.93,politique
élections législatives,scrutins,0.92,politique
politiques publiques,économie,0.91,politique
séparation des pouvoirs,équilibre,0.94,politique
